Id,algebra,programming,data science,robotics,economics,finance,job,salary
3316,61,77,57,66,81,78,finance director,980000
3317,52,68,93,93,98,81,logistics manager,560000
3318,96,63,68,71,69,91,robotics engineer,990000
3319,62,86,77,79,61,68,logistics manager,560000
3320,55,50,81,96,75,97,developer,250000
3321,67,62,75,67,68,60,robotics engineer,910000
3322,67,96,99,71,70,92,economist,470000
3323,88,66,62,65,99,68,data scientist,760000
3324,84,62,58,72,51,72,economist,310000
3325,86,88,88,98,70,69,developer,420000
3326,66,54,86,50,52,72,junior developer,140000
3327,59,68,61,97,90,88,senior developer,450000
3328,66,77,83,75,79,97,data scientist,740000
3329,50,92,74,95,75,91,data scientist,930000
3330,62,82,94,81,91,93,economist,440000
3331,91,99,61,82,63,69,robotics engineer,940000
3332,54,61,54,61,74,55,junior developer,120000
3333,64,87,79,81,68,70,logistics manager,490000
3334,76,51,62,59,69,67,junior developer,130000
3335,96,62,86,71,71,89,economist,410000
3336,71,60,64,59,79,78,developer,280000
3337,88,95,54,61,64,64,developer,390000
3338,52,81,81,82,55,54,developer,330000
3339,67,76,96,65,67,89,junior developer,160000
3340,98,86,81,51,81,82,finance director,1280000
3341,73,58,76,86,92,90,economist,470000
3342,99,52,92,59,80,54,robotics engineer,750000
3343,55,62,53,61,86,71,developer,240000
3344,82,99,67,82,88,57,data scientist,1040000
3345,54,77,80,82,95,81,robotics engineer,980000
3346,58,58,95,57,60,50,developer,230000
3347,65,95,75,90,54,67,senior developer,680000
3348,52,95,59,74,77,75,robotics engineer,920000
3349,82,63,62,55,85,84,senior developer,480000
3350,92,98,80,97,91,75,developer,390000
3351,59,81,91,97,71,74,finance director,1120000
3352,56,76,77,62,75,93,senior developer,480000
3353,66,92,59,59,89,79,finance director,1080000
3354,73,61,80,88,88,73,data scientist,680000
3355,85,89,90,56,74,57,finance director,1140000
3356,72,88,88,83,86,95,robotics engineer,1120000
3357,80,79,64,87,80,63,data scientist,850000
3358,63,65,53,98,56,76,senior developer,500000
3359,77,59,98,93,76,83,data scientist,700000
3360,69,96,83,99,95,54,senior developer,640000
3361,96,83,98,83,97,61,robotics engineer,1030000
3362,62,91,91,79,53,77,senior developer,550000
3363,52,86,50,97,78,70,senior developer,480000
3364,94,90,91,80,98,71,developer,350000
3365,71,65,77,82,98,58,data scientist,800000
3366,88,65,55,91,61,79,finance director,1100000
3367,83,55,81,97,82,80,developer,240000
3368,80,81,70,65,74,62,economist,420000
3369,82,92,72,65,91,77,junior developer,160000
3370,65,74,68,80,60,80,senior developer,520000
3371,93,79,56,93,66,52,senior developer,520000
3372,52,64,96,85,78,82,senior developer,460000
3373,91,52,85,86,95,76,developer,280000
3374,70,64,83,80,54,69,data scientist,660000
3375,69,72,79,76,89,96,junior developer,150000
3376,55,97,88,51,67,75,senior developer,550000
3377,70,82,51,93,89,70,finance director,950000
3378,96,93,91,72,93,72,data scientist,1050000
3379,86,83,59,86,69,56,logistics manager,600000
3380,70,88,61,95,59,87,finance director,1260000
3381,62,60,75,51,65,56,economist,330000
3382,96,53,81,95,90,68,economist,370000
3383,97,65,67,81,80,61,senior developer,500000
3384,67,86,86,99,85,81,data scientist,800000
3385,83,51,86,59,69,82,logistics manager,550000
3386,88,81,78,81,68,63,junior developer,190000
3387,90,67,96,83,58,78,robotics engineer,930000
3388,67,75,68,70,61,60,finance director,1060000
3389,79,90,67,88,74,62,logistics manager,570000
3390,85,60,80,89,94,52,economist,390000
3391,97,91,81,56,74,93,finance director,1520000
3392,78,74,63,70,96,94,finance director,1260000
3393,76,76,71,64,67,51,data scientist,830000
3394,89,66,73,98,70,71,finance director,1280000
3395,73,68,54,85,89,64,logistics manager,610000
3396,76,61,99,58,71,82,finance director,1400000
3397,61,69,64,60,50,51,logistics manager,440000
3398,74,88,51,76,53,70,robotics engineer,1050000
3399,98,69,83,53,83,51,robotics engineer,780000
3400,67,77,83,53,83,62,data scientist,780000
3401,59,51,56,59,68,95,finance director,1200000
3402,88,57,67,68,78,79,developer,280000
3403,54,88,60,56,89,80,robotics engineer,780000
3404,56,80,65,67,70,65,developer,280000
3405,61,73,81,95,64,83,economist,420000
3406,94,78,74,72,87,85,robotics engineer,1060000
3407,56,87,72,55,59,79,finance director,1040000
3408,62,82,86,84,67,98,junior developer,160000
3409,90,72,67,73,77,89,developer,320000
3410,66,82,55,88,56,65,junior developer,160000
3411,99,77,69,76,86,95,data scientist,930000
3412,58,99,98,83,89,94,logistics manager,660000
3413,52,72,70,52,58,78,finance director,1170000
3414,66,59,62,99,92,82,logistics manager,610000
3415,69,87,71,68,56,71,economist,400000
3416,64,71,98,75,60,73,developer,270000
3417,61,76,52,75,67,50,senior developer,560000
3418,64,52,64,62,80,80,data scientist,650000
3419,55,56,97,77,53,74,developer,260000
3420,76,60,74,98,97,80,data scientist,700000
3421,58,67,59,86,82,87,robotics engineer,780000
3422,86,67,60,86,55,59,junior developer,180000
3423,98,98,56,54,85,65,junior developer,180000
3424,72,65,62,52,51,66,logistics manager,470000
3425,75,92,70,73,96,83,data scientist,890000
3426,86,59,93,78,89,88,finance director,1310000
3427,95,98,98,68,68,71,senior developer,640000
3428,52,74,66,50,99,83,junior developer,140000
3429,81,91,76,68,71,88,developer,380000
3430,75,81,71,82,83,75,logistics manager,500000
3431,94,73,67,55,71,80,senior developer,520000
3432,61,86,74,99,51,97,robotics engineer,1050000
3433,55,59,96,75,95,94,logistics manager,500000
3434,69,69,99,84,50,75,senior developer,510000
3435,87,70,50,87,72,63,logistics manager,550000
3436,82,50,53,59,51,66,finance director,950000
3437,68,52,55,68,80,54,economist,290000
3438,96,66,97,75,79,77,data scientist,860000
3439,79,91,73,94,78,69,logistics manager,590000
3440,99,86,96,85,65,86,logistics manager,620000
3441,50,91,95,55,66,79,robotics engineer,1010000
3442,82,82,82,96,81,58,junior developer,150000
3443,56,64,80,72,85,60,robotics engineer,780000
3444,92,50,59,85,54,71,economist,340000
3445,67,94,94,93,60,72,logistics manager,680000
3446,59,63,64,50,55,90,junior developer,140000
3447,89,58,56,62,66,90,data scientist,710000
3448,96,55,65,99,56,75,developer,300000
3449,95,61,68,76,69,99,economist,450000
3450,74,85,56,85,77,70,data scientist,750000
3451,77,76,74,84,98,72,developer,300000
3452,64,62,97,56,54,75,developer,250000
3453,63,66,67,77,54,95,senior developer,480000
3454,98,57,73,59,96,87,economist,420000
3455,55,63,99,94,77,68,senior developer,520000
3456,70,87,65,97,70,93,economist,410000
3457,87,66,86,80,88,78,logistics manager,620000
3458,53,92,62,86,81,65,senior developer,620000
3459,54,98,50,78,94,74,robotics engineer,890000
3460,53,94,89,81,73,77,finance director,1070000
3461,97,93,74,68,90,92,economist,520000
3462,76,79,60,70,86,65,junior developer,160000
3463,78,67,66,50,66,78,data scientist,750000
3464,80,78,68,77,58,96,economist,370000
3465,60,52,84,71,61,76,finance director,1230000
3466,87,53,89,65,89,58,data scientist,730000
3467,56,97,56,72,76,64,senior developer,580000
3468,55,77,75,74,78,80,robotics engineer,950000
3469,60,95,80,83,81,61,data scientist,900000
3470,85,91,54,59,55,62,logistics manager,570000
3471,94,72,77,61,74,53,developer,300000
3472,74,72,54,57,57,62,data scientist,620000
3473,66,55,87,91,51,65,junior developer,130000
3474,53,59,68,90,71,66,data scientist,630000
3475,50,96,85,60,70,81,developer,330000
3476,66,68,96,88,55,67,logistics manager,500000
3477,81,95,73,60,70,57,senior developer,520000
3478,82,76,52,58,98,63,data scientist,830000
3479,59,66,56,59,55,65,robotics engineer,850000
3480,83,62,66,58,59,83,data scientist,660000
3481,70,51,94,86,91,96,finance director,1430000
3482,59,97,87,90,97,89,developer,330000
3483,93,82,59,70,81,61,finance director,1080000
3484,98,77,67,98,77,82,data scientist,810000
3485,57,69,77,69,72,52,developer,290000
3486,58,58,88,69,97,84,developer,220000
3487,98,73,76,84,85,64,economist,390000
3488,72,90,91,98,70,66,logistics manager,690000
3489,88,89,76,79,82,55,economist,350000
3490,86,70,93,65,55,80,junior developer,150000
3491,71,97,68,63,87,70,finance director,1350000
3492,59,77,94,81,92,60,economist,410000
3493,54,90,95,50,68,86,data scientist,910000
3494,87,55,58,75,81,66,senior developer,460000
3495,73,88,98,77,80,74,economist,400000
3496,77,77,88,51,66,72,senior developer,470000
3497,94,69,84,55,91,76,economist,470000
3498,99,90,56,71,77,70,finance director,1230000
3499,87,50,78,93,71,60,logistics manager,600000
3500,95,86,59,71,78,92,robotics engineer,1060000
3501,59,74,83,74,68,76,senior developer,470000
3502,74,86,54,86,97,85,data scientist,700000
3503,94,71,54,71,51,64,logistics manager,530000
3504,52,76,67,68,90,81,robotics engineer,920000
3505,56,93,94,91,81,65,developer,340000
3506,51,51,81,60,54,72,developer,220000
3507,82,98,80,91,75,97,developer,390000
3508,70,72,61,65,63,96,economist,360000
3509,63,54,89,98,56,88,developer,230000
3510,79,96,54,63,84,91,robotics engineer,900000
3511,82,67,65,94,51,97,logistics manager,550000
3512,90,54,64,89,55,88,economist,420000
3513,80,63,85,92,88,87,data scientist,720000
3514,56,54,61,59,66,53,robotics engineer,680000
3515,98,85,95,66,86,68,senior developer,710000
3516,59,62,59,73,65,97,data scientist,660000
3517,99,95,86,94,57,84,developer,370000
3518,87,71,88,57,98,82,data scientist,840000
3519,66,53,84,50,91,56,developer,270000
3520,57,59,61,61,70,80,finance director,990000
3521,65,79,76,70,92,71,robotics engineer,850000
3522,52,84,57,69,67,73,finance director,1090000
3523,87,79,68,67,67,97,data scientist,930000
3524,98,71,55,63,75,60,junior developer,190000
3525,97,76,98,54,89,70,developer,320000
3526,81,99,94,60,76,85,finance director,1450000
3527,83,90,70,60,80,66,junior developer,190000
3528,80,75,87,95,54,79,logistics manager,600000
3529,68,97,80,93,65,99,senior developer,690000
3530,99,83,69,79,69,91,economist,490000
3531,72,52,51,69,90,98,economist,420000
3532,83,65,79,82,80,64,senior developer,510000
3533,58,56,97,91,91,70,developer,270000
3534,92,59,81,75,50,93,junior developer,170000
3535,68,95,69,53,69,98,senior developer,570000
3536,81,88,98,77,84,61,finance director,1130000
3537,67,91,69,91,55,61,data scientist,890000
3538,70,70,71,73,66,65,junior developer,140000
3539,66,60,68,92,74,72,robotics engineer,1030000
3540,71,93,92,52,57,81,data scientist,830000
3541,53,74,51,83,71,67,logistics manager,510000
3542,78,82,89,79,50,89,finance director,1320000
3543,61,59,61,65,79,96,robotics engineer,800000
3544,51,78,79,71,86,99,economist,400000
3545,67,56,94,95,87,75,robotics engineer,860000
3546,83,82,91,57,60,59,senior developer,510000
3547,97,54,67,75,56,84,economist,390000
3548,53,79,58,59,82,79,senior developer,500000
3549,74,77,98,89,75,91,data scientist,940000
3550,57,67,87,63,57,86,developer,270000
3551,73,86,86,78,65,87,senior developer,540000
3552,94,52,81,64,85,74,data scientist,710000
3553,81,82,69,91,74,67,robotics engineer,1160000
3554,82,86,72,95,84,81,developer,360000
3555,50,94,77,55,52,90,economist,320000
3556,55,70,77,56,88,72,finance director,1090000
3557,72,62,58,58,99,89,economist,370000
3558,70,68,53,66,95,95,logistics manager,590000
3559,56,66,92,52,89,63,robotics engineer,720000
3560,85,53,60,52,84,58,developer,280000
3561,77,86,90,70,50,91,logistics manager,570000
3562,70,66,59,51,55,89,developer,310000
3563,71,77,83,65,96,85,logistics manager,630000
3564,88,85,61,81,96,73,finance director,1350000
3565,56,88,69,89,67,52,finance director,1010000
3566,94,87,97,53,78,54,logistics manager,600000
3567,96,54,78,62,65,84,finance director,1170000
3568,92,53,50,66,58,72,senior developer,390000
3569,81,74,95,62,57,66,data scientist,820000
3570,53,86,52,75,51,55,robotics engineer,1050000
3571,74,91,56,92,91,93,senior developer,570000
3572,82,83,80,55,85,99,economist,440000
3573,98,57,74,65,51,81,finance director,1160000
3574,55,58,92,93,85,69,data scientist,740000
3575,74,66,87,90,82,72,robotics engineer,1110000
3576,81,58,96,69,89,93,robotics engineer,950000
3577,82,56,73,72,60,57,finance director,990000
3578,81,55,58,98,55,73,senior developer,550000
3579,81,51,83,50,99,81,junior developer,150000
3580,63,65,62,92,71,57,economist,300000
3581,81,62,56,66,94,59,logistics manager,450000
3582,96,85,99,79,78,69,developer,420000
3583,77,99,74,58,98,90,economist,500000
3584,81,94,56,75,52,70,developer,410000
3585,50,59,95,59,50,99,economist,390000
3586,87,57,88,80,73,65,developer,280000
3587,72,64,79,57,92,73,senior developer,490000
3588,67,69,83,53,67,60,finance director,1070000
3589,81,71,57,54,61,72,developer,330000
3590,58,63,61,54,73,68,finance director,1020000
3591,52,51,71,82,65,92,senior developer,480000
3592,92,93,54,56,60,88,data scientist,770000
3593,58,78,51,61,64,92,finance director,990000
3594,80,81,59,68,93,81,economist,410000
3595,82,88,55,89,72,58,data scientist,950000
3596,56,63,62,91,75,80,economist,370000
3597,70,82,67,67,94,93,developer,360000
3598,57,55,51,56,75,91,finance director,980000
3599,83,99,54,74,94,86,junior developer,200000
3600,70,91,77,84,89,61,developer,330000
3601,51,82,76,83,68,95,developer,280000
3602,50,99,87,81,92,89,senior developer,590000
3603,87,92,65,75,75,92,junior developer,210000
3604,83,60,50,69,87,69,finance director,1080000
3605,63,71,83,66,81,69,robotics engineer,910000
3606,63,78,63,93,74,67,developer,290000
3607,52,99,87,67,85,84,developer,300000
3608,85,97,93,64,94,97,economist,540000
3609,62,85,62,74,59,97,data scientist,900000
3610,66,98,76,84,71,51,developer,370000
3611,99,56,94,55,93,60,junior developer,170000
3612,69,75,71,94,93,70,junior developer,130000
3613,58,92,62,63,65,89,developer,330000
3614,99,70,93,76,99,60,logistics manager,570000
3615,81,71,87,61,75,55,developer,320000
3616,78,53,87,81,79,89,economist,380000
3617,59,94,74,88,54,89,logistics manager,600000
3618,76,58,72,80,68,90,robotics engineer,990000
3619,58,82,61,67,60,59,data scientist,770000
3620,60,70,69,88,91,70,senior developer,480000
3621,87,65,78,80,56,88,junior developer,180000
3622,54,79,79,83,95,77,developer,310000
3623,93,74,67,59,74,90,junior developer,150000
3624,75,65,54,79,96,60,senior developer,550000
3625,80,89,93,66,62,65,developer,390000
3626,98,60,76,60,65,70,junior developer,170000
3627,73,97,52,75,93,78,logistics manager,580000
3628,94,70,78,74,68,68,finance director,1230000
3629,96,75,78,53,86,50,senior developer,630000
3630,93,90,80,57,77,85,economist,400000
3631,58,96,77,77,97,97,developer,300000
3632,66,58,79,71,79,70,developer,230000
3633,77,68,67,53,65,85,developer,280000
3634,64,66,51,84,55,88,data scientist,720000
3635,53,98,58,72,81,84,logistics manager,490000
3636,95,66,55,80,82,97,logistics manager,620000
3637,55,80,67,63,74,78,senior developer,450000
3638,80,87,69,81,58,58,finance director,1010000
3639,94,79,89,78,61,54,developer,390000
3640,79,83,80,70,84,97,logistics manager,550000
3641,82,51,68,66,61,85,data scientist,600000
3642,53,58,60,67,69,59,finance director,870000
3643,89,97,85,60,96,90,developer,410000
3644,78,82,57,87,96,51,data scientist,870000
3645,63,75,81,55,63,71,developer,260000
3646,91,71,50,85,61,65,junior developer,150000
3647,81,82,72,65,98,82,finance director,1380000
3648,51,66,55,88,61,52,data scientist,560000
3649,92,64,96,96,92,86,senior developer,530000
3650,87,77,64,65,52,57,developer,380000
3651,73,56,70,61,92,58,economist,340000
3652,63,73,61,56,54,67,robotics engineer,900000
3653,87,57,63,97,62,92,junior developer,170000
3654,83,63,54,98,51,93,economist,350000
3655,82,92,58,62,93,67,logistics manager,570000
3656,76,64,86,98,84,89,logistics manager,570000
3657,69,73,98,77,52,71,robotics engineer,1050000
3658,83,87,95,52,94,75,junior developer,190000
3659,99,57,96,57,98,60,economist,440000
3660,54,76,69,97,52,60,data scientist,720000
3661,68,62,79,72,53,95,junior developer,140000
3662,65,51,71,93,95,81,economist,350000
3663,90,69,64,58,82,98,finance director,1390000
3664,83,92,63,83,58,70,developer,320000
3665,55,52,98,57,81,79,robotics engineer,760000
3666,85,67,64,61,85,86,finance director,1190000
3667,67,74,53,96,84,96,finance director,1260000
3668,96,68,83,57,72,55,developer,320000
3669,89,61,86,52,60,86,data scientist,740000
3670,52,83,76,63,78,67,data scientist,890000
3671,85,66,59,68,72,71,developer,270000
3672,52,72,83,52,78,90,robotics engineer,890000
3673,56,64,89,73,69,68,economist,380000
3674,89,66,94,60,81,89,junior developer,140000
3675,92,61,97,83,99,89,junior developer,170000
3676,91,95,87,75,64,75,logistics manager,690000
3677,69,56,97,53,84,92,economist,430000
3678,77,79,83,91,55,67,data scientist,720000
3679,51,53,93,76,68,94,developer,220000
3680,96,65,94,94,84,82,logistics manager,580000
3681,62,77,89,54,91,51,developer,330000
3682,80,93,77,52,88,61,data scientist,1010000
3683,84,82,64,73,86,81,developer,360000
3684,88,76,83,90,72,53,logistics manager,660000
3685,91,67,65,51,64,92,developer,300000
3686,57,91,96,69,91,80,junior developer,140000
3687,90,94,66,59,84,62,economist,390000
3688,90,60,98,81,81,91,senior developer,540000
3689,62,76,91,83,84,55,robotics engineer,1030000
3690,71,90,99,68,84,54,junior developer,180000
3691,51,92,51,75,90,79,finance director,1130000
3692,78,89,69,77,65,52,junior developer,170000
3693,63,85,96,64,50,59,developer,280000
3694,53,98,94,68,91,65,economist,440000
3695,54,61,53,61,64,80,junior developer,130000
3696,64,57,55,94,77,66,senior developer,450000
3697,71,79,83,63,71,74,finance director,1160000
3698,89,67,72,91,90,65,data scientist,670000
3699,57,71,74,55,70,57,economist,380000
3700,71,71,85,84,50,61,developer,320000
3701,64,93,86,97,56,66,robotics engineer,1090000
3702,79,90,95,55,86,85,developer,380000
3703,73,74,93,66,79,89,senior developer,570000
3704,60,96,52,63,91,94,finance director,1060000
3705,66,98,85,70,76,72,robotics engineer,1160000
3706,78,54,65,70,59,92,data scientist,720000
3707,74,89,80,50,79,69,developer,390000
3708,76,74,86,87,95,96,senior developer,590000
3709,72,82,73,64,56,75,economist,400000
3710,82,99,60,83,51,96,junior developer,200000
3711,53,52,76,77,59,82,senior developer,470000
3712,58,79,67,95,89,82,senior developer,510000
3713,64,61,86,88,57,60,finance director,1030000
3714,74,86,76,97,79,76,robotics engineer,1180000
3715,71,57,65,56,63,98,data scientist,640000
3716,75,57,55,82,66,95,junior developer,140000
3717,59,58,84,94,75,86,senior developer,460000
3718,68,62,90,85,70,82,junior developer,130000
3719,80,64,79,89,52,65,logistics manager,570000
3720,91,94,68,79,90,55,data scientist,850000
3721,84,71,59,79,59,97,logistics manager,510000
3722,89,76,90,72,82,74,senior developer,540000
3723,70,55,50,89,83,69,economist,350000
3724,69,76,86,53,80,55,senior developer,600000
3725,91,76,92,83,88,61,logistics manager,550000
3726,71,63,83,92,71,95,finance director,1300000
3727,90,91,94,67,97,91,senior developer,650000
3728,93,54,65,85,91,96,junior developer,170000
3729,65,78,71,63,76,68,developer,300000
3730,78,91,80,93,63,92,robotics engineer,1150000
3731,68,86,81,99,82,70,logistics manager,630000
3732,99,83,78,57,69,64,economist,390000
3733,96,54,98,50,79,95,economist,470000
3734,83,71,60,93,72,77,junior developer,160000
3735,56,92,67,60,61,83,senior developer,620000
3736,58,98,80,90,76,59,economist,320000
3737,54,66,63,85,96,79,logistics manager,610000
3738,91,57,78,96,98,93,finance director,1290000
3739,55,82,63,85,84,61,data scientist,810000
3740,73,65,68,64,84,75,economist,410000
3741,97,70,79,88,97,87,economist,450000
3742,78,64,94,67,98,61,robotics engineer,980000
3743,50,83,95,66,95,99,economist,390000
3744,88,85,60,86,88,66,finance director,1230000
3745,57,76,93,79,79,93,senior developer,580000
3746,67,78,98,67,57,54,developer,330000
3747,53,74,91,96,97,57,robotics engineer,970000
3748,79,83,78,59,73,97,senior developer,590000
3749,87,93,97,99,74,91,finance director,1440000
3750,82,73,75,94,85,63,junior developer,150000
3751,52,56,55,59,60,90,economist,380000
3752,55,82,57,55,90,84,senior developer,450000
3753,50,66,69,95,65,56,logistics manager,490000
3754,90,63,59,75,84,60,logistics manager,480000
3755,63,98,77,70,83,90,economist,410000
3756,81,71,98,94,83,50,robotics engineer,1080000
3757,52,85,67,69,83,79,junior developer,130000
3758,50,58,58,95,81,80,senior developer,520000
3759,57,74,73,92,53,73,data scientist,700000
3760,92,86,78,97,55,98,finance director,1380000
3761,97,73,92,50,74,64,data scientist,960000
3762,74,75,98,54,83,53,logistics manager,480000
3763,71,55,93,55,57,72,economist,350000
3764,90,96,69,77,94,74,junior developer,220000
3765,95,54,76,73,60,82,data scientist,670000
3766,64,94,78,67,55,92,data scientist,770000
3767,88,88,73,75,96,70,senior developer,680000
3768,92,74,69,96,92,51,finance director,1260000
3769,52,82,86,94,88,86,logistics manager,540000
3770,91,86,90,51,74,72,finance director,1200000
3771,84,53,86,97,59,53,data scientist,740000
3772,55,91,74,83,81,88,junior developer,150000
3773,50,50,50,62,66,92,finance director,1000000
3774,94,69,96,50,98,96,robotics engineer,890000
3775,53,87,54,66,87,84,finance director,1020000
3776,91,50,89,79,53,64,data scientist,620000
3777,89,81,63,61,75,84,logistics manager,600000
3778,77,56,53,73,55,87,junior developer,150000
3779,96,57,59,53,68,86,senior developer,450000
3780,98,82,57,76,63,61,economist,400000
3781,85,52,87,60,58,85,junior developer,140000
3782,52,91,50,56,85,75,robotics engineer,880000
3783,69,84,88,79,51,89,developer,350000
3784,76,76,88,50,71,61,data scientist,790000
3785,64,68,58,85,72,99,robotics engineer,910000
3786,98,66,95,98,61,84,robotics engineer,1080000
3787,61,62,92,60,76,90,senior developer,530000
3788,50,76,62,97,92,83,economist,380000
3789,65,75,92,53,60,53,finance director,1030000
3790,99,92,98,83,82,78,developer,350000
3791,84,57,85,62,98,82,logistics manager,520000
3792,89,61,53,92,95,70,junior developer,150000
3793,97,58,89,68,55,70,logistics manager,610000
3794,59,86,63,96,69,84,logistics manager,480000
3795,64,87,69,90,72,65,developer,360000
3796,56,56,93,53,55,50,junior developer,120000
3797,68,86,65,72,68,79,logistics manager,480000
3798,59,83,68,67,67,72,junior developer,130000
3799,76,72,53,99,92,65,robotics engineer,1120000
3800,84,56,89,70,94,59,senior developer,430000
3801,60,53,94,78,63,88,developer,260000
3802,50,77,51,63,83,95,data scientist,690000
3803,75,56,76,63,86,81,developer,230000
3804,84,65,56,89,58,80,robotics engineer,960000
3805,82,64,88,77,73,96,developer,270000
3806,76,68,95,97,87,92,logistics manager,690000
3807,60,62,96,95,62,74,economist,400000
3808,65,64,57,96,65,80,logistics manager,560000
3809,83,54,91,85,64,64,senior developer,490000
3810,97,78,69,60,59,65,junior developer,160000
3811,55,51,80,52,85,61,developer,230000
3812,72,59,99,59,77,65,robotics engineer,920000
3813,87,76,64,77,51,86,data scientist,740000
3814,63,60,68,76,90,92,developer,290000
3815,60,62,98,71,98,95,finance director,1410000
3816,72,99,83,65,57,92,robotics engineer,1150000
3817,75,95,94,66,62,90,robotics engineer,1050000
3818,83,99,85,70,63,66,junior developer,190000
3819,73,93,73,94,57,51,junior developer,160000
3820,94,51,81,59,92,79,developer,270000
3821,62,71,75,51,91,65,junior developer,130000
3822,62,98,54,71,76,63,data scientist,820000
3823,87,88,59,55,57,91,developer,340000
3824,91,82,93,68,83,96,finance director,1250000
3825,95,98,62,52,99,94,economist,490000
3826,79,67,75,55,90,53,senior developer,550000
3827,73,56,58,76,60,67,logistics manager,470000
3828,84,80,58,75,54,70,developer,350000
3829,54,72,87,76,95,89,logistics manager,550000
3830,58,80,78,88,61,79,junior developer,150000
3831,77,61,71,53,50,99,junior developer,150000
3832,66,72,78,69,81,61,economist,360000
3833,66,85,53,51,65,97,junior developer,170000
3834,69,68,70,85,77,85,robotics engineer,980000
3835,67,98,75,74,75,94,logistics manager,500000
3836,78,71,71,80,69,97,junior developer,150000
3837,66,73,84,76,91,78,senior developer,550000
3838,73,88,69,90,65,89,senior developer,550000
3839,58,78,59,67,71,98,finance director,1230000
3840,99,75,92,61,93,65,economist,470000
3841,82,72,59,92,68,69,robotics engineer,930000
3842,64,51,69,57,82,89,data scientist,680000
3843,89,50,78,95,82,69,data scientist,750000
3844,62,94,65,51,72,94,data scientist,880000
3845,87,64,51,50,86,98,economist,440000
3846,95,96,92,88,98,61,finance director,1510000
3847,65,87,97,55,97,57,finance director,1310000
3848,89,68,85,77,65,65,data scientist,880000
3849,66,52,53,77,75,93,logistics manager,440000
3850,53,50,50,69,63,96,senior developer,380000
3851,54,92,81,73,53,60,senior developer,540000
3852,59,83,72,82,61,57,junior developer,140000
3853,56,65,56,66,91,82,logistics manager,550000
3854,59,51,98,82,57,82,finance director,1060000
3855,59,82,77,65,68,95,data scientist,720000
3856,96,67,96,68,74,98,logistics manager,510000
3857,64,93,91,72,72,52,finance director,1130000
3858,57,91,90,64,69,50,data scientist,780000
3859,93,66,66,90,90,93,finance director,1240000
3860,70,53,66,76,93,54,finance director,1030000
3861,75,57,56,62,87,72,junior developer,120000
3862,53,91,83,92,59,56,developer,370000
3863,72,89,91,70,57,83,economist,370000
3864,81,88,55,88,67,95,data scientist,740000
3865,94,63,90,92,79,80,finance director,1190000
3866,95,62,78,55,96,84,data scientist,830000
3867,94,84,98,69,84,96,junior developer,200000
3868,78,53,67,88,95,85,junior developer,120000
3869,82,71,91,58,91,91,economist,420000
3870,80,75,70,94,72,82,finance director,1250000
3871,78,55,53,80,59,62,logistics manager,520000
3872,75,98,76,82,77,60,data scientist,870000
3873,94,94,82,97,81,92,logistics manager,690000
3874,75,74,82,80,57,99,economist,460000
3875,51,69,81,73,69,53,finance director,900000
3876,97,91,76,65,94,51,robotics engineer,1090000
3877,81,60,71,68,97,52,junior developer,150000
3878,91,67,79,50,99,84,developer,340000
3879,76,71,76,66,79,83,senior developer,490000
3880,89,67,74,68,60,68,developer,340000
3881,70,53,85,65,89,68,finance director,1140000
3882,99,96,85,73,79,96,senior developer,570000
3883,93,75,88,88,64,82,economist,380000
3884,50,73,93,50,79,67,logistics manager,460000
3885,60,65,78,94,52,54,data scientist,640000
3886,79,86,67,79,87,93,economist,430000
3887,87,97,58,65,54,91,economist,440000
3888,94,89,74,50,57,63,robotics engineer,940000
3889,96,85,66,66,86,89,finance director,1370000
3890,61,66,66,75,97,89,robotics engineer,790000
3891,88,88,95,57,94,52,economist,410000
3892,91,50,86,78,88,82,developer,280000
3893,68,77,75,69,67,95,logistics manager,450000
3894,85,86,85,97,79,71,economist,370000
3895,83,72,67,60,80,54,developer,310000
3896,82,75,72,89,59,51,developer,350000
3897,76,59,78,53,93,75,robotics engineer,830000
3898,83,87,69,56,57,87,finance director,1200000
3899,71,94,74,75,81,64,junior developer,170000
3900,99,54,89,50,70,93,logistics manager,590000
3901,92,84,95,98,99,65,economist,450000
3902,58,96,61,68,83,50,logistics manager,610000
3903,86,77,65,87,57,60,data scientist,700000
3904,70,75,59,88,92,50,robotics engineer,860000
3905,63,90,80,80,97,57,junior developer,180000
3906,80,74,74,91,95,88,logistics manager,540000
3907,79,86,58,58,98,80,senior developer,520000
3908,66,70,60,65,51,88,robotics engineer,880000
3909,66,85,83,85,81,94,data scientist,950000
3910,86,51,51,75,54,69,robotics engineer,830000
3911,61,66,64,96,63,98,developer,250000
3912,65,97,52,88,73,99,logistics manager,550000
3913,58,63,62,86,56,63,developer,250000
3914,64,99,87,94,86,61,economist,400000
3915,65,97,95,57,93,87,senior developer,710000
3916,70,91,71,67,90,81,robotics engineer,850000
3917,99,76,51,64,89,66,data scientist,850000
3918,63,84,89,84,95,85,data scientist,810000
3919,77,99,70,63,78,75,logistics manager,580000
3920,74,89,55,51,61,98,junior developer,170000
3921,98,67,60,68,91,88,logistics manager,590000
3922,69,84,64,98,82,76,economist,430000
3923,94,66,69,78,52,54,robotics engineer,1050000
3924,81,95,56,99,64,68,economist,380000
3925,99,61,54,68,96,82,robotics engineer,960000
3926,56,53,93,83,72,76,finance director,1120000
3927,62,83,99,65,51,66,senior developer,620000
